,site,site_name,latitude,longitude,elevation,country,country_iso_code,site_type,site_area,date_start,date_end,network,eu_code,eoi_code,observation_count,data_source
1136,cz0ttro,Trinec-Kosmos,49.66813613,18.67777139,320,czechia,CZ,background,urban,01/01/1994 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0TTRO,CZ0TTRO,1318828,airbase; aqer:e1a; aqer:e2a
1137,cz0tver,Vernovice,49.92466874,18.42282951,203,czechia,CZ,background,rural_nearcity,01/01/1994 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0TVER,CZ0TVER,1141544,airbase; aqer:e1a; aqer:e2a
1138,cz0tvit,NA,49.77516174,17.76026535,480,czechia,CZ,background,suburban,05/01/2016 00:00,31/12/2016 22:00,NET-CZ002A,STA.CZ_TVIT,CZ0TVIT,7503,aqer:e1a
1139,cz0tvrz,NA,49.62231064,17.86095238,276,czechia,CZ,background,rural_nearcity,08/01/2017 23:00,29/12/2017 23:00,NET-CZ001A,STA.CZ_TVRZ,CZ0TVRZ,903,aqer:e1a
1140,cz0tzby,Zbyslavice,49.805553,18.075556,398,czechia,CZ,background,rural,01/01/2010 00:00,31/12/2010 00:00,NA,NA,NA,717,airbase
1141,cz0ucec,NA,50.3034935,13.49380207,330,czechia,CZ,background,rural_regional,01/01/2016 23:00,30/12/2019 23:00,NET-CZ001A,STA.CZ_UCEC,CZ0UCEC,1180,aqer:e1a; aqer:e2a
1142,cz0uchm,Chomutov,50.46752443,13.41265568,344,czechia,CZ,background,urban,01/01/1992 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UCHM,CZ0UCHM,1066127,airbase; aqer:e1a; aqer:e2a
1143,cz0udcm,Decin,50.77414836,14.21880381,131,czechia,CZ,background,urban,01/01/1992 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0UDCM,CZ0UDCM,1317298,airbase; aqer:e1a; aqer:e2a
1144,cz0udeh,Decin-ZU,50.780833,14.218611,135,czechia,CZ,traffic,urban,01/01/2008 00:00,21/05/2011 00:00,NA,NA,NA,4300,airbase
1145,cz0udok,Doksany,50.4588324,14.17020495,158,czechia,CZ,background,rural_nearcity,01/01/2005 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0UDOK,CZ0UDOK,240557,airbase; aqer:e1a; aqer:e2a
1146,cz0ukru,Krupka,50.69665555,13.84770977,533,czechia,CZ,background,rural_nearcity,01/01/2005 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0UKRU,CZ0UKRU,494090,airbase; aqer:e1a; aqer:e2a
1147,cz0ulom,Lom,50.58579423,13.6734366,265,czechia,CZ,background,rural_nearcity,01/01/2004 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0ULOM,CZ0ULOM,995406,airbase; aqer:e1a; aqer:e2a
1148,cz0ulth,Litomerice-ZU,50.534443,14.135555,166,czechia,CZ,background,urban,01/01/2008 00:00,31/12/2009 00:00,NA,NA,NA,2838,airbase
1149,cz0ultt,Litomerice,50.54088548,14.11945014,190,czechia,CZ,background,urban,01/01/2003 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0ULTT,CZ0ULTT,842493,airbase; aqer:e1a; aqer:e2a
1150,cz0ulvs,Lovosice-MU,50.515278,14.052222,152,czechia,CZ,traffic,urban,07/04/2008 00:00,28/12/2008 00:00,NA,NA,NA,1060,airbase
1151,cz0umed,Medenec,50.42759653,13.13013552,827,czechia,CZ,background,rural_nearcity,01/01/2005 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UMED,CZ0UMED,486676,airbase; aqer:e1a; aqer:e2a
1152,cz0umom,Most,50.51038936,13.6452295,221,czechia,CZ,background,urban,01/01/1992 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0UMOM,CZ0UMOM,1815442,airbase; aqer:e1a; aqer:e2a
1153,cz0umso,Most-ZU,50.5,13.641667,305,czechia,CZ,industrial,urban,01/01/2008 00:00,31/12/2011 00:00,NA,NA,NA,5432,airbase
1154,cz0urvh,Rudolice v Horach,50.57986211,13.41948287,840,czechia,CZ,background,rural_regional,01/01/1995 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0URVH,CZ0URVH,1182820,airbase; aqer:e1a; aqer:e2a
1155,cz0usjt,Strojetice,50.16983277,13.48272427,360,czechia,CZ,background,rural_nearcity,01/01/2005 00:00,29/12/2014 23:00,NET-CZ001A,STA-CZ0USJT,CZ0USJT,3540,airbase; aqer:e1a
1156,cz0usmo,Smolnice,50.308828,13.856125,345,czechia,CZ,background,rural,01/01/2005 00:00,30/12/2010 00:00,NA,NA,NA,2188,airbase
1157,cz0usnz,Sneznik,50.7916986,14.08702096,590,czechia,CZ,background,rural_regional,01/01/2005 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0USNZ,CZ0USNZ,806424,airbase; aqer:e1a; aqer:e2a
1158,cz0utem,Teplice - old,50.639275,13.824961,225,czechia,CZ,background,urban,01/01/1992 00:00,31/12/2007 23:00,NA,NA,NA,1062304,airbase
1159,cz0utpm,Teplice,50.64530219,13.8512132,257,czechia,CZ,background,urban,01/01/1997 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UTPM,CZ0UTPM,588153,airbase; aqer:e1a; aqer:e2a
1160,cz0utus,Tusimice,50.37657944,13.32758522,322,czechia,CZ,background,rural_nearcity,01/01/2003 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UTUS,CZ0UTUS,1065983,airbase; aqer:e1a; aqer:e2a
1161,cz0uudi,NA,50.66297913,14.03124332,155,czechia,CZ,industrial,urban,01/01/2016 23:00,28/12/2018 23:00,NET-CZ002A,STA.CZ_UUDI,CZ0UUDI,526,aqer:e1a
1162,cz0uukb,Usti n.L.-Kras.Brezn,50.6675,14.080556,175,czechia,CZ,background,urban,01/01/2008 00:00,13/01/2011 00:00,NA,NA,NA,4420,airbase
1163,cz0uukp,Usti n.L.-ZU- Pasteu,50.66477981,14.02665417,172,czechia,CZ,traffic,urban,01/01/2008 00:00,16/12/2015 23:00,NET-CZ002A,STA-CZ0UUKP,CZ0UUKP,9255,airbase; aqer:e1a
1164,cz0uuld,Usti n.L.-Vseboricka,50.683111,13.99790808,230,czechia,CZ,traffic,urban,01/01/2004 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UULD,CZ0UULD,715629,airbase; aqer:e1a; aqer:e2a
1165,cz0uulk,Usti n.L.-Kockov,50.68350943,14.04120688,367,czechia,CZ,background,suburban,01/01/1992 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UULK,CZ0UULK,1947190,airbase; aqer:e1a; aqer:e2a
1166,cz0uulm,Usti n.L.-mesto,50.66107855,14.04309334,147,czechia,CZ,background,urban,01/01/1992 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0UULM,CZ0UULM,1825966,airbase; aqer:e1a; aqer:e2a
1167,cz0uval,Valdek,50.97504127,14.51300207,438,czechia,CZ,background,rural_nearcity,01/01/2005 00:00,30/12/2019 23:00,NET-CZ001A,STA-CZ0UVAL,CZ0UVAL,442915,airbase; aqer:e1a; aqer:e2a
1168,cz0uvse,Vsechlapy,50.60857,13.782097,216,czechia,CZ,background,rural,01/01/1992 00:00,31/12/2004 23:00,NA,NA,NA,655026,airbase
1169,cz0zkro,Kromeriz-ZU,49.294998,17.388332,200,czechia,CZ,traffic,urban,01/01/2008 00:00,31/12/2009 00:00,NA,NA,NA,2908,airbase
1170,cz0zsnv,Stitna n.Vlari,49.04782385,18.00780785,600,czechia,CZ,background,rural_regional,01/01/1994 00:00,14/12/2020 00:00,NET-CZ001A,STA-CZ0ZSNV,CZ0ZSNV,505705,airbase; aqer:e1a; aqer:e2a
1171,cz0ztnv,NA,49.25939178,17.41056061,280,czechia,CZ,background,rural_regional,16/09/2015 00:00,14/12/2020 01:00,NET-CZ001A,STA.CZ_ZTNV,CZ0ZTNV,308158,aqer:e1a; aqer:e2a
